country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AUS,UNFCCC_AI,Energy,CO2,258.9470447,260.9303596,265.47481,269.536381,272.3166425,283.304129,289.9049681,298.0723674,311.2789776,319.8028753,326.3715998,334.087843,338.3716789,344.3543898,356.9853785,362.0656581,367.325863,373.1337774,378.4739335,384.0202851,379.5259319,377.5983968,382.6747042,376.071109,372.3551397,379.9248971,389.4643025,392.0200486,393.7379307,394.6975293,378.7366962,
AUS,UNFCCC_AI,Energy,N2O,1.961516546,1.996122365,2.057374732,2.194110446,2.280304123,2.409255139,2.50620373,2.632608167,2.803054731,2.919481326,3.034422116,3.16868648,3.391203955,3.655662269,3.766508547,3.794209614,3.756236753,3.784913669,3.791994864,3.690365283,3.61415314,3.696843519,3.66708386,3.644320378,3.509208729,3.284890781,3.249116448,3.245172505,3.060669988,2.993760213,2.967642726,
AUS,UNFCCC_AI,Industrial Processes and Product Use,Aggregate F-gases,6.252256133,6.274768899,6.194578713,5.422268921,3.488158434,2.865705392,1.977532411,1.959649006,2.561646819,2.335622414,2.752145714,3.705834198,4.064864976,4.560453322,5.129612311,5.846925355,5.144828235,5.715746307,6.176704588,6.95173192,7.484097118,8.237377563,8.617480939,8.867084233,9.591170123,10.13213787,10.59103159,10.79432427,10.82521448,11.72531406,11.92560405,
AUS,UNFCCC_AI,Industrial Processes and Product Use,Aggregate GHGs,25.9024422,25.08378405,25.6748401,25.40392764,25.40754166,25.05148912,24.60893356,24.68922811,25.80624083,26.22949988,26.12889833,27.09048352,27.59163448,30.13375943,31.47778183,30.70599397,31.07910121,33.21403011,33.27995982,31.11544628,34.08907737,34.90904032,32.52028298,30.16826736,30.14450566,31.06531425,31.19487369,31.84268343,32.57467787,33.40937444,32.72867504,
AUS,UNFCCC_AI,Industrial Processes and Product Use,CH4,0.081616197,0.075092338,0.082254589,0.083244995,0.092973096,0.098346185,0.100434669,0.098347005,0.102776939,0.095948635,0.086742511,0.080988899,0.080346504,0.086449396,0.086296819,0.0817885,0.088664557,0.089303523,0.089352927,0.077147719,0.092361972,0.097591631,0.075326522,0.068477572,0.065017949,0.068674614,0.069677278,0.069880954,0.073827146,0.072031003,0.071462927,
AUS,UNFCCC_AI,Industrial Processes and Product Use,CO2,18.55125699,17.88926549,18.28659574,18.49286028,20.43672376,20.6993758,20.97696742,21.02807719,21.4396547,22.14353242,21.53455315,21.19751833,21.21019671,22.97051029,23.77159567,22.09540422,23.1994394,24.64556745,23.89861172,21.07096894,23.35788694,23.99934994,21.40050232,19.74715593,19.07532696,19.30401504,19.10540384,19.44506578,19.83976801,19.36763621,18.768759,
AUS,UNFCCC_AI,Industrial Processes and Product Use,N2O,1.017312888,0.844657331,1.111411063,1.40555344,1.389686367,1.388061748,1.553999061,1.603154911,1.702162378,1.65439641,1.755456953,2.106142093,2.236226285,2.516346416,2.490277034,2.681875891,2.646169018,2.763412826,3.115290589,3.015597694,3.154731341,2.574721193,2.426973204,1.485549626,1.412990629,1.560486735,1.428760989,1.533412437,1.835868233,2.244393161,1.962849069,
AUS,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,200.6294819,185.0865581,117.2152901,94.31190333,89.95971901,64.78703877,64.60116659,56.94591402,41.39359092,52.6993741,65.96129686,76.03202861,72.0759432,84.61865945,61.19996708,83.83469633,92.48954455,97.67964341,83.81214257,82.84220061,66.35383756,43.41065478,24.53965829,17.62033929,22.2241407,2.887560066,-30.24400821,-38.36848097,-33.96207676,-40.39653243,-40.14586116,
AUS,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",CH4,19.73738581,19.31239791,18.33101399,16.65648989,16.77079256,18.80171428,17.18227509,19.76415254,17.40981676,20.4581879,21.52540569,20.46063087,21.28834227,22.88661859,20.11944682,17.97477482,22.03660105,20.06034981,19.93151467,21.10899429,19.16952062,19.25054741,17.43000876,18.09983178,20.11025626,19.54843671,19.03887782,19.93676972,16.20225427,14.67939882,12.7896596,
AUS,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",CO2,176.0734615,161.2092893,94.68695455,73.6006606,69.11156874,41.92357563,43.05285336,32.89948666,19.73832228,27.50218259,39.3828808,50.63823088,45.79113318,56.38127826,36.35648418,60.94322124,65.32838149,72.32790093,58.69598452,56.36078532,41.47469109,18.3107734,1.55839725,-5.744536168,-3.061852821,-21.37623463,-53.68406719,-62.5983026,-53.98362865,-58.67867586,-56.62131387,
